MSA by Population,Toxic Sites,Urban Park Acres,Air Quality,Walk Score,Climate,Arithmetic Mean,Population
"New York-Newark-Jersey City, NY-NJ-PA",0.348837209,0.582279266,0.376237624,1,0.401745411,0.541819902,1
"Los Angeles-Long Beach-Anaheim, CA",0,0.538426959,0.247524752,0.625,0.924014445,0.466993231,2
"Chicago-Naperville-Elgin, IL-IN-WI",0.534883721,0.171177455,0.287128713,0.796875,0.187631658,0.395539309,3
"Dallas-Fort Worth-Arlington, TX",0.810077519,0.398235987,0.475247525,0.3125,0.547246464,0.508661499,4
"Houston-The Woodlands-Sugar Land, TX",0.775193798,0.797882564,0.346534653,0.3125,0.625489016,0.571520006,5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.651162791,0.145290799,0.217821782,0.828125,0.388353897,0.446150854,6
"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.856589147,0.109607515,0.514851485,0.78125,0.449744207,0.542408471,7
"Miami-Fort Lauderdale-West Palm Beach, FL",0.620155039,0,0.801980198,0.8125,0.653626241,0.577652296,8
"Atlanta-Sandy Springs-Roswell, GA",0.488372093,0.057617188,0.267326733,0.34375,0.592536864,0.349920575,9
"Boston-Cambridge-Newton, MA-NH",0.76744186,0.053896949,0.564356436,0.875,0.326211255,0.5173813,10
"San Francisco-Oakland-Hayward, CA",0.689922481,0.065894717,0.613861386,0.9375,0.874962383,0.636428193,11
"Phoenix-Mesa-Scottsdale, AZ",0.841085271,0.741133433,0.524752475,0.21875,0.49067108,0.563278452,12
"Riverside-San Bernardino-Ontario, CA",0.620155039,0.034551711,0,0.234375,0.787992778,0.335414906,13
"Detroit-Warren-Dearborn, MI",0.317829457,0.066747272,0.405940594,0.4375,0.213210954,0.288245655,14
"Seattle-Tacoma-Bellevue, WA",0.596899225,0.079039559,0.96039604,0.734375,0.542431538,0.582628272,15
"Minneapolis-St. Paul-Bloomington, MN-WI",0.821705426,0.056020585,0.653465347,0.640625,0,0.434363272,16
"San Diego-Carlsbad, CA",0.856589147,0.72797309,0.326732673,0.390625,1,0.660383982,17
"Tampa-St. Petersburg-Clearwater, FL",0.631782946,0.052331349,0.792079208,0.34375,0.67739994,0.499468689,18
"St. Louis, MO-IL",0.244186047,0.034753224,1,0.5625,0.339452302,0.436178315,19
"Baltimore-Columbia-Towson, MD",0.717054264,0.053679936,0.455445545,0.65625,0.407463136,0.457978576,20
"Denver-Aurora-Lakewood, CO",0.755813953,0.068855407,0.792079208,0.5,0.263466747,0.476043063,21
"Charlotte-Concord-Gastonia, NC-SC",0.771317829,0.301230779,0.465346535,0,0.561540776,0.419887184,22
"Pittsburgh, PA",0.852713178,0.023887029,0.079207921,0.5625,0.303942221,0.36445007,23
"Portland-Vancouver-Hillsboro, OR-WA",0.798449612,0.201512897,0.821782178,0.609375,0.584110743,0.603046086,24
"San Antonio-New Braunfels, TX",0.934108527,0.371729291,0.653465347,0.15625,0.596448992,0.542400431,25
"Orlando-Kissimmee-Sanford, FL",0.837209302,0.023716518,0.821782178,0.234375,0.687180259,0.520852651,26
"Sacramento--Roseville--Arden-Arcade, CA",0.833333333,0.05219184,0.603960396,0.296875,0.701324105,0.497536935,27
"Cincinnati, OH-KY-IN",0.794573643,0.094029018,0.217821782,0.40625,0.361871803,0.374909249,28
"Kansas City, MO-KS",0.728682171,0.251751612,0.524752475,0.125,0.301083358,0.386253923,29
"Las Vegas-Henderson-Paradise, NV",0.930232558,0.025266617,0.762376238,0.234375,0.469756244,0.484401331,30
"Cleveland-Elyria, OH",0.744186047,0.025421627,0.257425743,0.515625,0.263617213,0.361255126,31
"Columbus, OH",0.926356589,0.162357391,0.366336634,0.25,0.253084562,0.391627035,32
"Indianapolis-Carmel-Anderson, IN",0.841085271,0.151971726,0.247524752,0.078125,0.302738489,0.324289048,33
"San Jose-Sunnyvale-Santa Clara, CA",0.674418605,0.225725446,0.623762376,0.375,0.841558832,0.548093052,34
"Austin-Round Rock, TX",1,0.39766245,0.534653465,0.171875,0.614504965,0.543739176,35
"Nashville-Davidson--Murfreesboro--Franklin, TN",0.941860465,0.478143601,0.465346535,0.03125,0.488414084,0.481002937,36
"Virginia Beach-Norfolk-Newport News, VA-NC",0.968992248,0.364180308,0.623762376,0.109375,0.540926873,0.521447361,37
"Milwaukee-Waukesha-West Allis, WI",0.841085271,0.058624752,0.445544554,0.546875,0.131206741,0.404667264,39
"Jacksonville, FL",0.686046512,1,0.653465347,0.03125,0.691242853,0.612400942,40
,,,,,,,
,,,,,,,
,,,,,,,
