MSA,PC Income,Unemployment,Gini,Arithmetic Mean,Population,,
"New York-Newark-Jersey City, NY-NJ-PA",0.693642472,0.431818182,0,0.375153551,1,,
"Los Angeles-Long Beach-Anaheim, CA",0.43055453,0.159090909,0.1623296159,0.250658352,2,,
"Chicago-Naperville-Elgin, IL-IN-WI",0.429053139,0.295454545,0.4027261462,0.37574461,3,,
"Dallas-Fort Worth-Arlington, TX",0.399911393,0.75,0.4349442379,0.52828521,4,,
"Houston-The Woodlands-Sugar Land, TX",0.530704669,0.772727273,0.2837670384,0.529066327,5,,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.533559773,0.5,0.3692688971,0.467609557,6,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.731423368,0.75,0.8686493185,0.783357562,7,,
"Miami-Fort Lauderdale-West Palm Beach, FL",0.368357577,0.454545455,0.0570012392,0.293301424,8,,
"Atlanta-Sandy Springs-Roswell, GA",0.251396786,0.340909091,0.4733581165,0.355221331,9,,
"Boston-Cambridge-Newton, MA-NH",0.764306284,0.704545455,0.3135068154,0.594119518,10,,
"San Francisco-Oakland-Hayward, CA",0.96251446,0.704545455,0.2726146221,0.646558179,11,,
"Phoenix-Mesa-Scottsdale, AZ",0.162150188,0.522727273,0.5811648079,0.42201409,12,,
"Riverside-San Bernardino-Ontario, CA",0,0.022727273,0.7868649318,0.269864068,13,,
"Detroit-Warren-Dearborn, MI",0.27669891,0,0.5241635688,0.266954159,14,,
"Seattle-Tacoma-Bellevue, WA",0.614019543,0.704545455,0.7397769517,0.686113983,15,,
"Minneapolis-St. Paul-Bloomington, MN-WI",0.489994831,1,0.7211895911,0.737061474,16,,
"San Diego-Carlsbad, CA",0.447980507,0.431818182,0.5489467162,0.476248468,17,,
"Tampa-St. Petersburg-Clearwater, FL",0.197838982,0.5,0.4795539033,0.392464295,18,,
"St. Louis, MO-IL",0.34785498,0.454545455,0.5786864932,0.460362309,19,,
"Baltimore-Columbia-Towson, MD",0.502892023,0.5,0.7311028501,0.577998291,20,,
"Denver-Aurora-Lakewood, CO",0.510103621,0.795454545,0.6555142503,0.653690805,21,,
"Charlotte-Concord-Gastonia, NC-SC",0.225627015,0.522727273,0.3977695167,0.382041268,22,,
"Pittsburgh, PA",0.396047158,0.613636364,0.5315985130,0.513760678,23,,
"Portland-Vancouver-Hillsboro, OR-WA",0.308548081,0.454545455,0.7199504337,0.49434799,24,,
"San Antonio-New Braunfels, TX",0.199709567,0.840909091,0.5885997522,0.543072803,25,,
"Orlando-Kissimmee-Sanford, FL",0.094661449,0.545454545,0.4287484511,0.356288148,26,,
"Sacramento--Roseville--Arden-Arcade, CA",0.334588594,0.25,0.5068153656,0.36380132,27,,
"Cincinnati, OH-KY-IN",0.31061557,0.659090909,0.5625774473,0.510761309,28,,
"Kansas City, MO-KS",0.321469886,0.613636364,0.6319702602,0.522358837,29,,
"Las Vegas-Henderson-Paradise, NV",0.154446331,0.113636364,0.8550185874,0.374367094,30,,
"Cleveland-Elyria, OH",0.337246794,0.522727273,0.4312267658,0.430400278,31,,
"Columbus, OH",0.28659332,0.795454545,0.6071871128,0.563078326,32,,
"Indianapolis-Carmel-Anderson, IN",0.264810849,0.590909091,0.6827757125,0.512831884,33,,
"San Jose-Sunnyvale-Santa Clara, CA",1,0.681818182,0.5910780669,0.757632083,34,,
"Austin-Round Rock, TX",0.33887125,0.931818182,0.5662949195,0.612328117,35,,
"Nashville-Davidson--Murfreesboro--Franklin, TN",0.347879593,0.704545455,0.4907063197,0.514377123,36,,
"Virginia Beach-Norfolk-Newport News, VA-NC",0.295798568,0.590909091,1.0000000000,0.628902553,37,,
"Milwaukee-Waukesha-West Allis, WI",0.378547343,0.522727273,0.4448574969,0.448710704,39,,
"Jacksonville, FL",0.249944621,0.477272727,0.5638166047,0.430344651,40,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
