MSA by Population,Diversity,Education,Religion,Health,Crime,Arithmetic Mean,Population
"New York-Newark-Jersey City, NY-NJ-PA",0.91339228,0.612244898,0.186041564,0.391304348,0.753446878,0.571285994,1
"Los Angeles-Long Beach-Anaheim, CA",0.91645894,0.414965986,0.158964826,0.844720497,0.758515815,0.618725213,2
"Chicago-Naperville-Elgin, IL-IN-WI",0.812929528,0.551020408,0.243572623,0.440993789,0.735806975,0.556864665,3
"Dallas-Fort Worth-Arlington, TX",0.866786679,0.425170068,0.555682012,0.708074534,0.831508516,0.677444362,4
"Houston-The Woodlands-Sugar Land, TX",0.940627945,0.37755102,0.372220978,0.807453416,0.356042174,0.570779107,5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.627981151,0.523809524,0.379614619,0.279503106,0.574614761,0.477104632,6
"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.921245301,1,0.388153872,0.857142857,0.864557989,0.806220004,7
"Miami-Fort Lauderdale-West Palm Beach, FL",0.891745645,0.323129252,0.175335846,0.801242236,0.299675588,0.498225713,8
"Atlanta-Sandy Springs-Roswell, GA",0.822985122,0.540816327,0.453953476,0.472049689,0.698702352,0.597701393,9
"Boston-Cambridge-Newton, MA-NH",0.408892889,0.860544218,0.179731308,0.701863354,0.787712895,0.587748933,10
"San Francisco-Oakland-Hayward, CA",1,0.884353741,0.244111832,0.906832298,0.496553122,0.706370199,11
"Phoenix-Mesa-Scottsdale, AZ",0.696764971,0.30952381,0.781598691,0.732919255,0.71107056,0.646375457,12
"Riverside-San Bernardino-Ontario, CA",0.822652618,0,0.708111618,0.51552795,0.842457421,0.577749922,13
"Detroit-Warren-Dearborn, MI",0.525040504,0.323129252,0.223747831,0.01242236,0.433090024,0.303485994,14
"Seattle-Tacoma-Bellevue, WA",0.600681951,0.663265306,0.355842283,0.310559006,0.842862936,0.554642296,15
"Minneapolis-St. Paul-Bloomington, MN-WI",0.289435061,0.683673469,0.303648863,0.925465839,0.9756691,0.635578466,16
"San Diego-Carlsbad, CA",0.864634934,0.585034014,0.145939941,0.962732919,0.847120843,0.68109253,17
"Tampa-St. Petersburg-Clearwater, FL",0.583720019,0.258503401,0.318528833,0.173913043,0.599148418,0.386762743,18
"St. Louis, MO-IL",0.348366601,0.421768707,0.593023151,0.086956522,0.635036496,0.417030296,19
"Baltimore-Columbia-Towson, MD",0.681279187,0.605442177,0.392790356,0.186335404,0.313260341,0.435821493,20
"Denver-Aurora-Lakewood, CO",0.578649865,0.710884354,0.200914629,0.782608696,0.834955393,0.621602587,21
"Charlotte-Concord-Gastonia, NC-SC",0.625382538,0.442176871,0.980493406,0.714285714,0.711273317,0.694722369,22
"Pittsburgh, PA",0,0.401360544,0.781598691,0.596273292,0.924168694,0.540680244,23
"Portland-Vancouver-Hillsboro, OR-WA",0.356988405,0.537414966,0.400644105,0.577639752,0.981954582,0.570928362,24
"San Antonio-New Braunfels, TX",0.698743051,0.217687075,0.366342465,0.968944099,0.685523114,0.587447961,25
"Orlando-Kissimmee-Sanford, FL",0.839004606,0.299319728,0.36166471,0.602484472,0.116788321,0.443852367,26
"Sacramento--Roseville--Arden-Arcade, CA",0.834542278,0.387755102,0.236778792,0.552795031,0.673965937,0.537167428,27
"Cincinnati, OH-KY-IN",0.180003177,0.391156463,0.526783372,0.068322981,0.964517437,0.426156686,28
"Kansas City, MO-KS",0.400262614,0.503401361,0.733879483,0.403726708,0.528994323,0.514052898,29
"Las Vegas-Henderson-Paradise, NV",0.914826071,0.095238095,0,0.360248447,0,0.274062523,30
"Cleveland-Elyria, OH",0.438572563,0.326530612,0.408376688,0.037267081,0.618815896,0.365912568,31
"Columbus, OH",0.334344258,0.503401361,0.545757085,0.211180124,0.908556367,0.500647839,32
"Indianapolis-Carmel-Anderson, IN",0.367291788,0.397959184,0.620202524,0,0.196066504,0.316304,33
"San Jose-Sunnyvale-Santa Clara, CA",0.971400434,0.93877551,0.111549519,1,1,0.804345093,34
"Austin-Round Rock, TX",0.755927357,0.734693878,0.3082926,0.98757764,0.916666667,0.740631628,35
"Nashville-Davidson--Murfreesboro--Franklin, TN",0.389796156,0.414965986,1,0.534161491,0.26784266,0.521353259,36
"Virginia Beach-Norfolk-Newport News, VA-NC",0.715560968,0.329931973,0.537872675,0.229813665,0.880778589,0.538791574,37
"Milwaukee-Waukesha-West Allis, WI",0.53269021,0.469387755,0.357334088,0.459627329,0.221005677,0.408009012,39
"Jacksonville, FL",0.595215757,0.258503401,0.572030579,0.614906832,0.368815896,0.481894493,40
