MSA,Freedom ,Economics,Enviroment,Community,MDI,Population 
"New York-Newark-Jersey City, NY-NJ-PA",0.367551808,0.375153551,0.541819902,0.571285994,0.463952814,1
"Los Angeles-Long Beach-Anaheim, CA",0.460445837,0.250658352,0.466993231,0.618725213,0.449205658,2
"Chicago-Naperville-Elgin, IL-IN-WI",0.444012131,0.37574461,0.395539309,0.556864665,0.443040179,3
"Dallas-Fort Worth-Arlington, TX",0.818075021,0.52828521,0.508661499,0.677444362,0.633116523,4
"Houston-The Woodlands-Sugar Land, TX",0.887466504,0.529066327,0.571520006,0.570779107,0.639707986,5
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.599480254,0.467609557,0.446150854,0.477104632,0.497586324,6
"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.433238038,0.783357562,0.542408471,0.806220004,0.641306019,7
"Miami-Fort Lauderdale-West Palm Beach, FL",0.805852019,0.293301424,0.577652296,0.498225713,0.543757863,8
"Atlanta-Sandy Springs-Roswell, GA",0.85171306,0.355221331,0.349920575,0.597701393,0.53863909,9
"Boston-Cambridge-Newton, MA-NH",0.561690632,0.594119518,0.5173813,0.587748933,0.565235096,10
"San Francisco-Oakland-Hayward, CA",0.15324213,0.646558179,0.636428193,0.706370199,0.535649675,11
"Phoenix-Mesa-Scottsdale, AZ",0.845156936,0.42201409,0.563278452,0.646375457,0.619206234,12
"Riverside-San Bernardino-Ontario, CA",0.443292165,0.269864068,0.335414906,0.577749922,0.406580265,13
"Detroit-Warren-Dearborn, MI",0.584627783,0.266954159,0.288245655,0.303485994,0.360828398,14
"Seattle-Tacoma-Bellevue, WA",0.372821689,0.686113983,0.582628272,0.554642296,0.54905156,15
"Minneapolis-St. Paul-Bloomington, MN-WI",0.542534004,0.737061474,0.434363272,0.635578466,0.587384304,16
"San Diego-Carlsbad, CA",0.514245264,0.476248468,0.660383982,0.68109253,0.582992561,17
"Tampa-St. Petersburg-Clearwater, FL",0.881579686,0.392464295,0.499468689,0.386762743,0.540068853,18
"St. Louis, MO-IL",0.652253393,0.460362309,0.436178315,0.417030296,0.491456078,19
"Baltimore-Columbia-Towson, MD",0.617011556,0.577998291,0.457978576,0.435821493,0.522202479,20
"Denver-Aurora-Lakewood, CO",0.753268203,0.653690805,0.476043063,0.621602587,0.626151165,21
"Charlotte-Concord-Gastonia, NC-SC",0.901581057,0.382041268,0.419887184,0.694722369,0.59955797,22
"Pittsburgh, PA",0.691426099,0.513760678,0.36445007,0.540680244,0.527579273,23
"Portland-Vancouver-Hillsboro, OR-WA",0.56764075,0.49434799,0.603046086,0.570928362,0.558990797,24
"San Antonio-New Braunfels, TX",0.917001133,0.543072803,0.542400431,0.587447961,0.647480582,25
"Orlando-Kissimmee-Sanford, FL",0.880150132,0.356288148,0.520852651,0.443852367,0.550285825,26
"Sacramento--Roseville--Arden-Arcade, CA",0.398190233,0.36380132,0.497536935,0.537167428,0.449173979,27
"Cincinnati, OH-KY-IN",0.672447096,0.510761309,0.374909249,0.426156686,0.496068585,28
"Kansas City, MO-KS",0.747386907,0.522358837,0.386253923,0.514052898,0.542513141,29
"Las Vegas-Henderson-Paradise, NV",0.663187287,0.374367094,0.484401331,0.274062523,0.449004559,30
"Cleveland-Elyria, OH",0.671145646,0.430400278,0.361255126,0.365912568,0.457178404,31
"Columbus, OH",0.698104264,0.563078326,0.391627035,0.500647839,0.538364366,32
"Indianapolis-Carmel-Anderson, IN",0.846904577,0.512831884,0.324289048,0.316304,0.500082377,33
"San Jose-Sunnyvale-Santa Clara, CA",0.23082876,0.757632083,0.548093052,0.804345093,0.585224747,34
"Austin-Round Rock, TX",0.911672018,0.612328117,0.543739176,0.740631628,0.702092735,35
"Nashville-Davidson--Murfreesboro--Franklin, TN",0.879623331,0.514377123,0.481002937,0.521353259,0.599089162,36
"Virginia Beach-Norfolk-Newport News, VA-NC",0.85222014,0.628902553,0.521447361,0.538791574,0.635340407,37
"Milwaukee-Waukesha-West Allis, WI",0.721925012,0.448710704,0.404667264,0.408009012,0.495827998,39
"Jacksonville, FL",0.827409596,0.430344651,0.612400942,0.481894493,0.588012421,40
